Gene ID	Gene Name	Design Element	'non-small cell lung cancer' vs 'normal'.p-value	'non-small cell lung cancer' vs 'normal'.t-statistic	'non-small cell lung cancer' vs 'normal'.log2foldchange
ENSG00000000003	TSPAN6	209109_s_at	1.82156073267554e-21	13.3004996682515	1.8
ENSG00000000005	TNMD	220065_at	0.495974296542042	0.844258371233036	0.2
ENSG00000000419	DPM1	202673_at	0.0045671190926687	3.17395912492592	0.2
ENSG00000000457	SCYL3	205607_s_at	0.0379710495043221	2.35196518670915	0.2
ENSG00000000460	C1orf112	220840_s_at	7.67009299124345e-22	13.5034764439305	1.6
ENSG00000000938	FGR	208438_s_at	8.90815204994102e-28	-16.9161334821387	-2.6
ENSG00000000971	CFH	213800_at	5.63031685343534e-09	-6.80766281871874	-1.3
ENSG00000001036	FUCA2	223120_at	0.670372944421436	0.547010549872434	0
ENSG00000001084	GCLC	202923_s_at	1.31633702626553e-15	10.2177432599445	2.4
ENSG00000001167	NFYA	204108_at	5.29863213213329e-08	6.28372203913738	0.6
ENSG00000001460	STPG1	227694_at	0.459951434489867	0.909865579490839	0.1
ENSG00000001461	NIPAL3	225876_at	3.42920953800867e-12	-8.47177252696133	-0.8
ENSG00000001497	LAS1L	208117_s_at	3.73812989793667e-07	5.81610139271539	0.6
ENSG00000001561	ENPP4	204160_s_at	3.78179101333673e-14	-9.47259940958089	-1.8
ENSG00000001617	SEMA3F	35666_at	3.57066295733349e-05	4.64992758331933	0.6
ENSG00000001626	CFTR	205043_at	2.18830433292156e-12	-8.57118764712455	-1.7
ENSG00000001629	ANKIB1	224687_at	1.35755660274671e-13	9.18847986631036	0.6
ENSG00000002016	RAD52	205647_at	0.769468321683061	0.384034841165426	0
ENSG00000002079	MYH16	1564072_at	0.544529488149989	0.757989785103535	0
ENSG00000002330	BAD	209364_at	0.713245630614999	-0.476724724410403	0
ENSG00000002549	LAP3	217933_s_at	3.92853209649416e-06	-5.23211240151488	-0.5
ENSG00000002586	CD99	201029_s_at	0.271318641897785	-1.30705302961689	-0.1
ENSG00000002587	HS3ST1	205466_s_at	1.81846186662609e-06	5.42611393831306	1.2
ENSG00000002726	AOC1	203559_s_at	0.00248149787016778	3.3847305411837	0.8
ENSG00000002745	WNT16	221113_s_at	0.409962871085484	1.00542818231756	0.1
ENSG00000002746	HECW1	215584_at	0.982159390560177	0.0316974911224157	0
ENSG00000002834	LASP1	200618_at	0.0652315366325804	2.10506025289861	0.1
ENSG00000002919	SNX11	53912_at	0.074658507542408	-2.04029713696037	-0.1
ENSG00000002933	TMEM176A	218345_at	0.415782194016326	-0.993957735291832	-0.2
ENSG00000003056	M6PR	200901_s_at	0.69815602750169	-0.500830676612363	0
ENSG00000003096	KLHL13	227875_at	4.32923955948086e-08	6.33111320073289	1.9
ENSG00000003137	CYP26B1	219825_at	0.0350931338882218	2.38638349708468	0.3
ENSG00000003147	ICA1	210547_x_at	0.00224999828214529	-3.41719974183071	-0.6
ENSG00000003249	DBNDD1	222234_s_at	3.42077077503415e-06	5.26754638317116	0.5
ENSG00000003393	ALS2	226291_at	0.109628922592803	-1.84414571552338	-0.1
ENSG00000003400	CASP10	205467_at	0.00254696708319535	-3.37586597930831	-0.3
ENSG00000003402	CFLAR	209939_x_at	0.00337997696002764	-3.27929263933469	-0.4
ENSG00000003436	TFPI	213258_at	6.61957485520654e-14	-9.34894175668833	-1.8
ENSG00000003509	NDUFAF7	223560_s_at	2.16800557029752e-12	8.57339342917565	0.7
ENSG00000003756	RBM5	201395_at	1.23581642778179e-15	-10.2317741042768	-0.7
ENSG00000003987	MTMR7	243804_at	0.919447553325036	0.137492497865594	0
ENSG00000003989	SLC7A2	225516_at	0.000559953499132373	-3.86007356230635	-0.9
ENSG00000004139	SARM1	213257_at	8.20333480550422e-07	-5.62360663463454	-0.3
ENSG00000004142	POLDIP2	217806_s_at	8.85006180170227e-11	7.748050253911	0.6
ENSG00000004399	PLXND1	38671_at	6.46802852400304e-07	-5.68175784689724	-0.7
ENSG00000004455	AK2	212174_at	0.000845751739035314	-3.73209126385077	-0.4
ENSG00000004468	CD38	205692_s_at	0.000254063459445811	4.09479470967537	0.7
ENSG00000004478	FKBP4	200895_s_at	1.46351298422593e-12	8.66112427945476	1.1
ENSG00000004487	KDM1A	212348_s_at	5.97064289005017e-16	10.3932380913569	0.8
ENSG00000004534	RBM6	201967_at	1.20224140480973e-13	-9.21593433224788	-0.8
ENSG00000004660	CAMKK1	223460_at	0.165832435430592	-1.61519789729391	-0.1
ENSG00000004700	RECQL	212917_x_at	0.940454630847973	-0.102892665415384	0
ENSG00000004766	VPS50	226031_at	0.314450216405456	1.20385829862271	0.1
ENSG00000004776	HSPB6	214767_s_at	6.53812991424897e-16	-10.3727464797219	-1.1
