,pert_iname,clinical_phase,moa,target,disease_area,indication,moa_nsclc,moa_group
50,ABT-751,Phase 2,tubulin polymerization inhibitor,TUBB,,,Microtubule inhibitor,Mitotic / cell-cycle
56,AC-55541,Preclinical,PARP inhibitor,PARP2,,,PARP inhibitor,DNA damage & repair
62,acalisib,Phase 1,PI3K inhibitor,PIK3CB|PIK3CD,,,PI3K inhibitor,PI3K–AKT–mTOR
101,aclarubicin,Launched,topoisomerase inhibitor,TOP1|TOP2A,hematologic malignancy,acute myeloid leukemia (AML),Topoisomerase inhibitor,Topoisomerase inhibitor
114,ACTB-1003,Phase 1,FGFR inhibitor|VEGFR inhibitor,KDR|TEK,,,FGFR inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
118,ACY-1215,Phase 1/Phase 2,HDAC inhibitor,HDAC1|HDAC2|HDAC3|HDAC6|HDAC8,,,HDAC inhibitor,HDAC inhibitor
149,AEE788,Phase 1/Phase 2,EGFR inhibitor|VEGFR inhibitor,EGFR|ERBB2|ERBB4|FGFR2|FGFR3|KDR,,,EGFR inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
153,afatinib,Launched,EGFR inhibitor,EGFR|ERBB2|ERBB4,oncology,non-small cell lung cancer (NSCLC),EGFR inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
160,AG-14361,Preclinical,PARP inhibitor,PARP1,,,PARP inhibitor,DNA damage & repair
161,AG-490,Preclinical,EGFR inhibitor|JAK inhibitor,EGFR|JAK2|JAK3,,,EGFR inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
192,albendazole,Launched,tubulin polymerization inhibitor,TUBA1A|TUBB|TUBB4B,infectious disease,cystic hydatid disease|parenchymal neurocysticercosis,Microtubule inhibitor,Mitotic / cell-cycle
200,aldoxorubicin,Phase 3,topoisomerase inhibitor,TOP2A,,,Topoisomerase inhibitor,Topoisomerase inhibitor
201,alectinib,Launched,ALK tyrosine kinase receptor inhibitor,ALK|MET,oncology,non-small cell lung cancer (NSCLC),ALK inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
