,pert_iname,pubchem_cid_list,canonical_smiles_list
0,(+)-3-(1-propyl-piperidin-3-yl)-phenol,['55445'],['CCCN1CCCC(C1)c1cccc(O)c1']
1,"(+/-)-7-hydroxy-2-(N,N-di-n-propylamino)tetralin",['1219'],['CCCN(CCC)C1CCc2ccc(O)cc2C1']
2,"1,2,3,4,5,6-hexabromocyclohexane",['74603'],['BrC1C(Br)C(Br)C(Br)C(Br)C1Br']
3,"1,2,3,4-tetrahydroisoquinoline",['7046'],['C1Cc2ccccc2CN1']
4,"1,2-dichlorobenzene",['7239'],['Clc1cccc(C=NC=Nc2cccc(Cl)c2)c1']
5,"1,2-propylene-glycol",['1030'],['CC(O)CO']
6,1-benzylimidazole,['77918'],['C(c1ccccc1)n2ccnc2']
7,1-methylisoquinoline,['15592'],['Cc1nccc2ccccc12']
8,1-monopalmitin,['14900'],['CCCCCCCCCCCCCCCC(=O)OCC(O)CO']
9,1-phenylbiguanide,['4780'],['NC(=N)NC(=N)Nc1ccccc1']
10,10-DEBC,['10521421'],['CCN(CC)CCCCN1c2ccccc2Oc2ccc(Cl)cc12']
11,10-hydroxycamptothecin,['97226'],['CC[C@@]1(O)C(=O)OCc2c1cc1-c3nc4ccc(O)cc4cc3Cn1c2=O']
12,10H-phenothiazin-10-yl)(p-tolyl)methanone,['3473393'],['Cc1ccc(cc1)C(=O)N2c3ccccc3Sc4ccccc24']
13,15-delta-prostaglandin-j2,"['12068863', '5311211', '6375741']","['CCCCC/C=C/C=C/1\\[C@@H](C/C=C\\CCCC(=O)O)C=CC1=O', 'CCCCC\\C=C\\C=C1/C(C\\C=C\\CCCC(O)=O)C=CC1=O', 'CCCCC\\C=C\\C=C1/[C@@H](C\\C=C\\CCCC(O)=O)C=CC1=O']"
14,"16,16-dimethylprostaglandin-e2",['5283066'],['CCCCC(C)(C)[C@H](O)\\C=C\\[C@H]1[C@H](O)CC(=O)[C@@H]1C\\C=C/CCCC(O)=O']
15,17-beta-estradiol,['13791'],['CCCCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@]12C']
16,17-hydroxyprogesterone-caproate,['5702072'],['CCCCCC(=O)O[C@@]1(CCC2C3CCC4=CC(=O)CC[C@]4(C)C3CC[C@]12C)C(C)=O']
17,"2',5'-dideoxyadenosine",['3044'],['CC1OC(CC1O)n1cnc2c(N)ncnc12']
18,2-(4-methoxybenzylthio)-6-methylpyrimidin-4-ol,['716696'],['COc1ccc(CSc2nc(C)cc(O)n2)cc1']
19,2-(biphenyl-4-ylsulfonamido)pentanedioic-acid,['644601'],['OC(=O)CCC(NS(=O)(=O)c1ccc(cc1)c2ccccc2)C(=O)O']
20,2-aminobenzenesulfonamide,['72894'],['Nc1ccccc1S(N)(=O)=O']
21,2-aminopurine,['160416'],['Nc1ncc2nc[nH]c2n1']
22,2-aminotetralin,['34677'],['NC1CCc2ccccc2C1']
23,2-fluoropalmitic-acid,['1560'],['CCCCCCCCCCCCCCC(F)C(=O)O']
24,"3,3'-diindolylmethane",['3071'],['C(c1c[nH]c2ccccc12)c1c[nH]c2ccccc12']
25,"3,6-dimethoxyflavone",['676292'],['COc1ccc2oc(-c3ccccc3)c(OC)c(=O)c2c1']
26,3-amino-benzamide,['1645'],['NC(=O)c1cccc(N)c1']
27,3-matida,['10398360'],['Cc1cc(sc1C(N)C(=O)O)C(=O)O']
28,3-methyl-GABA,['3539719'],['CC(CN)CC(O)=O']
29,"4,5,6,7-tetrabromobenzotriazole",['1694'],['Brc1c(Br)c(Br)c2[nH]nnc2c1Br']
30,4-(2-amino-ethyl)-benzenesulfonamide,['169682'],['NCCc1ccc(cc1)S(=O)(=O)N']
31,4-carboxy-3-hydroxyphenylglycine-(RS),['1297'],['NC(C(O)=O)c1ccc(C(O)=O)c(O)c1']
32,4-hydroxy-2-nonenal,['5283344'],['CCCCCC(O)/C=C/C=O']
33,4-hydroxyretinoic-acid,['6438629'],['CC(/C=C/C1=C(C)C(O)CCC1(C)C)=C\\C=C\\C(C)=C\\C(O)=O']
34,4-iodo-6-phenylpyrimidine,['817368'],['Ic1cc(ncn1)-c1ccccc1']
35,5'-guanidinonaltrindole,['9826034'],['NC(=N)Nc1ccc2[nH]c3C4Oc5c6c(CC7N(CC8CC8)CCC46C7(O)Cc3c2c1)ccc5O']
36,5-FP,['101498'],['Oc1ncc(F)cn1']
37,5-aminolevulinic-acid,['137'],['NCC(=O)CCC(O)=O']
38,5-hydroxytryptophan,['589768'],['NC(Cc1c[nH]c2cccc(O)c12)C(O)=O']
